"Date","Price","Open","High","Low","Change %"
"Jan 13","11.2069","11.1424","11.2470","10.9138","0.57%"
"Dec 12","11.1432","11.1166","11.2065","11.0604","0.21%"
"Nov 12","11.1201","11.1025","11.1754","11.0125","0.47%"
"Oct 12","11.0680","11.0952","11.1873","11.0457","-0.02%"
"Sep 12","11.0699","11.0428","11.1849","11.0011","0.16%"
"Aug 12","11.0525","10.9918","11.0895","10.9354","0.83%"
"Jul 12","10.9611","11.0763","11.1174","10.9221","-0.90%"
"Jun 12","11.0609","11.0210","11.1331","10.9768","0.44%"
"May 12","11.0128","11.1461","11.1968","10.9909","-1.25%"
"Apr 12","11.1517","11.1561","11.2099","11.0893","0.17%"
"Mar 12","11.1325","11.1656","11.2285","11.0837","-0.29%"
"Feb 12","11.1645","11.1280","11.2389","11.0738","0.34%"
"Jan 12","11.1271","11.1130","11.1894","11.0266","0.15%"
"Dec 11","11.1105","11.1472","11.2390","11.0747","-0.64%"
"Nov 11","11.1826","11.2436","11.2981","11.1166","-0.58%"
"Oct 11","11.2477","11.1318","11.3469","11.0993","1.00%"
"Sep 11","11.1367","11.3138","11.3834","11.1540","-1.55%"
"Aug 11","11.3121","11.2984","11.4586","11.2404","0.27%"
"Jul 11","11.2812","11.3165","11.3765","11.2244","-0.12%"
"Jun 11","11.2946","11.3097","11.4194","11.2191","-0.14%"
"May 11","11.3102","11.3498","11.4491","11.2224","-0.44%"
"Apr 11","11.3597","11.2784","11.4154","11.2563","0.72%"
"Mar 11","11.2783","11.2217","11.3424","11.2116","0.72%"
"Feb 11","11.1979","11.2029","11.2982","11.1588","-0.06%"
"Jan 11","11.2049","11.1329","11.2907","11.0690","0.56%"
"Dec 10","11.1423","11.1168","11.2258","10.9409","0.23%"
"Nov 10","11.1163","11.2270","11.3783","11.0846","-1.23%"
"Oct 10","11.2551","11.1831","11.3315","11.1905","0.19%"
"Sep 10","11.2334","11.0623","11.2555","11.0410","1.33%"
"Aug 10","11.0856","11.1226","11.2259","11.0329","-0.42%"
"Jul 10","11.1320","10.9693","11.1687","10.9562","1.03%"
"Jun 10","11.0182","11.0022","11.0646","10.8577","0.06%"
"May 10","11.0120","11.1655","11.2672","10.9407","-1.35%"
"Apr 10","11.1630","11.2039","11.2532","11.1116","-0.38%"
"Mar 10","11.2055","11.1875","11.2456","11.1225","-0.06%"
"Feb 10","11.2118","11.2546","11.2971","11.1654","-0.34%"
"Jan 10","11.2501","11.2845","11.3626","11.0658","-0.49%"
